protein1,protein2,y_true,y_prob,y_pred,correct,error_type,cosine_sim
9606.ENSP00000321711,9606.ENSP00000361010,0,0.061679147,0,True,correct,0.5441527366638184
9606.ENSP00000241052,9606.ENSP00000293217,1,0.098521076,0,False,false_negative,0.4771732687950134
9606.ENSP00000317564,9606.ENSP00000439768,0,0.0074149193,0,True,correct,0.12782466411590576
9606.ENSP00000238616,9606.ENSP00000379612,0,0.04833856,0,True,correct,0.24936211109161377
9606.ENSP00000244230,9606.ENSP00000305702,1,0.5511538,1,True,correct,0.521368682384491
9606.ENSP00000310094,9606.ENSP00000345083,1,0.49083772,0,False,false_negative,0.30959147214889526
9606.ENSP00000281830,9606.ENSP00000333984,0,0.8274973,1,False,false_positive,0.3537113666534424
9606.ENSP00000364076,9606.ENSP00000495715,0,0.8808626,1,False,false_positive,0.5330169796943665
9606.ENSP00000259915,9606.ENSP00000484803,1,0.8215454,1,True,correct,0.49861106276512146
9606.ENSP00000282561,9606.ENSP00000374240,0,0.017967336,0,True,correct,0.2885572612285614
9606.ENSP00000281081,9606.ENSP00000292180,0,0.11766601,0,True,correct,0.4759041965007782
9606.ENSP00000228641,9606.ENSP00000321679,0,0.15999635,0,True,correct,0.34835270047187805
9606.ENSP00000252244,9606.ENSP00000493985,1,0.07274926,0,False,false_negative,0.14713865518569946
9606.ENSP00000356405,9606.ENSP00000358464,0,0.06279253,0,True,correct,0.19568105041980743
9606.ENSP00000251089,9606.ENSP00000412189,0,0.0069259508,0,True,correct,0.08049149811267853
9606.ENSP00000339795,9606.ENSP00000351777,0,0.0041739014,0,True,correct,0.035530298948287964
9606.ENSP00000245934,9606.ENSP00000478982,0,0.05046548,0,True,correct,0.17789329588413239
9606.ENSP00000242729,9606.ENSP00000349131,0,0.030024664,0,True,correct,0.24458394944667816
9606.ENSP00000221996,9606.ENSP00000449079,1,0.36328116,0,False,false_negative,0.32941898703575134
9606.ENSP00000295897,9606.ENSP00000420174,1,0.53332764,1,True,correct,0.43836644291877747
9606.ENSP00000261023,9606.ENSP00000376637,1,0.40657938,0,False,false_negative,0.4825742840766907
9606.ENSP00000008938,9606.ENSP00000302961,1,0.22996676,0,False,false_negative,0.1548670530319214
9606.ENSP00000351147,9606.ENSP00000355958,1,0.9680692,1,True,correct,0.5265200138092041
9606.ENSP00000377245,9606.ENSP00000401878,1,0.92057157,1,True,correct,0.39468806982040405
9606.ENSP00000284551,9606.ENSP00000341821,0,0.052157294,0,True,correct,0.10151225328445435
9606.ENSP00000296102,9606.ENSP00000355228,1,0.99906164,1,True,correct,0.613296389579773
9606.ENSP00000245838,9606.ENSP00000355541,0,0.06483702,0,True,correct,0.34322771430015564
9606.ENSP00000263238,9606.ENSP00000388169,1,0.92124313,1,True,correct,0.7282736301422119
9606.ENSP00000339795,9606.ENSP00000355541,0,0.9900203,1,False,false_positive,0.49749720096588135
9606.ENSP00000353072,9606.ENSP00000370669,0,0.36535883,0,True,correct,0.5199468731880188
9606.ENSP00000299575,9606.ENSP00000365588,0,0.506657,1,False,false_positive,0.46251505613327026
9606.ENSP00000262584,9606.ENSP00000307940,1,0.9993924,1,True,correct,0.4437113106250763
9606.ENSP00000291295,9606.ENSP00000381026,0,0.46188435,0,True,correct,0.290455162525177
9606.ENSP00000262584,9606.ENSP00000295822,1,0.9999443,1,True,correct,0.632514238357544
9606.ENSP00000233809,9606.ENSP00000243924,0,0.012601914,0,True,correct,0.17084383964538574
9606.ENSP00000266376,9606.ENSP00000401437,0,0.25251883,0,True,correct,0.30635684728622437
9606.ENSP00000352544,9606.ENSP00000418572,1,0.99592716,1,True,correct,0.6367180943489075
9606.ENSP00000295414,9606.ENSP00000359665,0,0.007541593,0,True,correct,0.16710419952869415
9606.ENSP00000369213,9606.ENSP00000383044,1,0.115586706,0,False,false_negative,0.32679733633995056
9606.ENSP00000348984,9606.ENSP00000349748,0,0.6235848,1,False,false_positive,0.49666276574134827
9606.ENSP00000414321,9606.ENSP00000451818,1,0.9338387,1,True,correct,0.376992404460907
9606.ENSP00000162749,9606.ENSP00000341268,1,0.99979216,1,True,correct,0.7513852119445801
9606.ENSP00000278572,9606.ENSP00000339933,1,0.030844808,0,False,false_negative,0.3557254374027252
9606.ENSP00000252486,9606.ENSP00000265354,0,0.012948557,0,True,correct,0.1816934496164322
9606.ENSP00000261692,9606.ENSP00000369424,1,0.9963431,1,True,correct,0.5499157905578613
9606.ENSP00000340019,9606.ENSP00000351214,0,0.41015428,0,True,correct,0.2997434139251709
9606.ENSP00000303570,9606.ENSP00000479139,0,0.05118437,0,True,correct,0.30799081921577454
9606.ENSP00000270792,9606.ENSP00000444839,0,0.66433346,1,False,false_positive,0.4235469400882721
9606.ENSP00000268835,9606.ENSP00000442047,0,0.016781399,0,True,correct,0.23957958817481995
9606.ENSP00000259229,9606.ENSP00000285393,1,0.4612879,0,False,false_negative,0.5047421455383301
9606.ENSP00000365473,9606.ENSP00000417498,1,0.537436,1,True,correct,0.6145524382591248
9606.ENSP00000275493,9606.ENSP00000360683,1,0.3596329,0,False,false_negative,0.413773775100708
9606.ENSP00000261584,9606.ENSP00000430494,1,0.79748005,1,True,correct,0.3991495668888092
9606.ENSP00000262294,9606.ENSP00000389631,0,0.008076743,0,True,correct,0.08351590484380722
9606.ENSP00000216181,9606.ENSP00000360165,0,0.08676922,0,True,correct,0.3702646493911743
9606.ENSP00000300850,9606.ENSP00000316589,0,0.38810503,0,True,correct,0.2990277111530304
9606.ENSP00000293879,9606.ENSP00000404232,1,0.87020254,1,True,correct,0.5198803544044495
9606.ENSP00000261769,9606.ENSP00000404375,1,0.030821724,0,False,false_negative,0.03551435098052025
9606.ENSP00000261308,9606.ENSP00000460348,1,0.987528,1,True,correct,0.5873410105705261
9606.ENSP00000342374,9606.ENSP00000415078,1,0.71733516,1,True,correct,0.515792727470398
9606.ENSP00000360958,9606.ENSP00000477567,1,0.3867358,0,False,false_negative,0.8267509937286377
9606.ENSP00000253382,9606.ENSP00000411821,1,0.2976656,0,False,false_negative,0.6306418776512146
9606.ENSP00000419370,9606.ENSP00000423399,1,0.9998838,1,True,correct,0.6186502575874329
9606.ENSP00000245479,9606.ENSP00000371958,0,0.0669772,0,True,correct,0.3355315923690796
9606.ENSP00000338990,9606.ENSP00000340648,0,0.078780845,0,True,correct,0.1845908910036087
9606.ENSP00000284320,9606.ENSP00000387262,1,0.9809967,1,True,correct,0.6297293901443481
9606.ENSP00000299563,9606.ENSP00000301532,0,0.02128307,0,True,correct,0.10560694336891174
9606.ENSP00000309096,9606.ENSP00000361302,1,0.9902394,1,True,correct,0.6929968595504761
9606.ENSP00000356587,9606.ENSP00000365569,0,0.12861684,0,True,correct,0.3392312824726105
9606.ENSP00000354091,9606.ENSP00000370589,1,0.8618879,1,True,correct,0.5450983643531799
9606.ENSP00000228347,9606.ENSP00000270625,1,0.8979189,1,True,correct,0.26143309473991394
9606.ENSP00000262039,9606.ENSP00000369899,0,0.2980967,0,True,correct,0.40908148884773254
9606.ENSP00000259400,9606.ENSP00000376792,1,0.84951156,1,True,correct,0.5936688780784607
9606.ENSP00000334186,9606.ENSP00000367806,0,0.082614586,0,True,correct,0.25772151350975037
9606.ENSP00000296140,9606.ENSP00000380334,0,0.23519719,0,True,correct,0.4927874207496643
9606.ENSP00000355657,9606.ENSP00000481622,1,0.9995128,1,True,correct,0.616651713848114
9606.ENSP00000324806,9606.ENSP00000431512,1,0.77278674,1,True,correct,0.17560932040214539
9606.ENSP00000223369,9606.ENSP00000376792,1,0.95432234,1,True,correct,0.6507004499435425
9606.ENSP00000261205,9606.ENSP00000351614,1,0.99930394,1,True,correct,0.7325219511985779
9606.ENSP00000323302,9606.ENSP00000371514,0,0.19879916,0,True,correct,0.15724952518939972
9606.ENSP00000265689,9606.ENSP00000324806,1,0.65999264,1,True,correct,0.3326215445995331
9606.ENSP00000254227,9606.ENSP00000371790,0,0.10206686,0,True,correct,0.239589124917984
9606.ENSP00000245838,9606.ENSP00000337632,1,0.9947431,1,True,correct,0.5994182825088501
9606.ENSP00000299886,9606.ENSP00000355629,1,0.99609756,1,True,correct,0.6976057887077332
9606.ENSP00000257548,9606.ENSP00000318480,0,0.15349571,0,True,correct,0.2211141139268875
9606.ENSP00000277903,9606.ENSP00000412361,0,0.12525883,0,True,correct,0.15392139554023743
9606.ENSP00000258742,9606.ENSP00000300413,0,0.079465695,0,True,correct,0.4127086400985718
9606.ENSP00000260970,9606.ENSP00000475615,1,0.71402013,1,True,correct,0.44495242834091187
9606.ENSP00000370808,9606.ENSP00000418287,1,0.05545675,0,False,false_negative,0.12593631446361542
9606.ENSP00000262809,9606.ENSP00000478121,1,0.38643157,0,False,false_negative,0.3837195932865143
9606.ENSP00000242249,9606.ENSP00000253796,1,0.9157195,1,True,correct,0.6517801284790039
9606.ENSP00000352438,9606.ENSP00000448665,0,0.06596486,0,True,correct,0.1972515732049942
9606.ENSP00000228347,9606.ENSP00000253039,0,0.40904215,0,True,correct,0.3328787684440613
9606.ENSP00000261769,9606.ENSP00000276925,0,0.08131252,0,True,correct,0.29250645637512207
9606.ENSP00000230340,9606.ENSP00000311430,1,0.9859227,1,True,correct,0.4376213252544403
9606.ENSP00000295633,9606.ENSP00000498321,0,0.066745885,0,True,correct,0.2142222672700882
9606.ENSP00000052754,9606.ENSP00000311697,1,0.11112126,0,False,false_negative,0.3865841329097748
9606.ENSP00000380227,9606.ENSP00000452786,1,0.9998072,1,True,correct,0.7376278042793274
9606.ENSP00000371858,9606.ENSP00000460348,0,0.03186967,0,True,correct,0.24226532876491547
9606.ENSP00000318480,9606.ENSP00000496044,0,0.05067035,0,True,correct,0.24693673849105835
9606.ENSP00000296545,9606.ENSP00000400533,0,0.25035325,0,True,correct,0.6137925982475281
9606.ENSP00000276198,9606.ENSP00000334448,1,0.29887357,0,False,false_negative,0.422206848859787
9606.ENSP00000261584,9606.ENSP00000385021,1,0.7749462,1,True,correct,0.32889488339424133
9606.ENSP00000348056,9606.ENSP00000378199,1,0.5023871,1,True,correct,0.3191778361797333
9606.ENSP00000265689,9606.ENSP00000497260,0,0.048824307,0,True,correct,0.022399557754397392
9606.ENSP00000245479,9606.ENSP00000273450,0,0.049350165,0,True,correct,0.08697208762168884
9606.ENSP00000349748,9606.ENSP00000365694,0,0.45211995,0,True,correct,0.39361023902893066
9606.ENSP00000379873,9606.ENSP00000497910,1,0.98460233,1,True,correct,0.535526692867279
9606.ENSP00000300589,9606.ENSP00000368450,0,0.0656182,0,True,correct,0.48725026845932007
9606.ENSP00000296145,9606.ENSP00000360157,0,0.22094837,0,True,correct,0.4786262810230255
9606.ENSP00000327824,9606.ENSP00000431885,1,0.95578593,1,True,correct,0.538819432258606
9606.ENSP00000336741,9606.ENSP00000386023,1,0.8070729,1,True,correct,0.5698872208595276
9606.ENSP00000266376,9606.ENSP00000378326,0,0.22482015,0,True,correct,0.14425915479660034
9606.ENSP00000371790,9606.ENSP00000447241,1,0.41055852,0,False,false_negative,0.4217594563961029
9606.ENSP00000352544,9606.ENSP00000428417,0,0.8897368,1,False,false_positive,0.6099587082862854
9606.ENSP00000237596,9606.ENSP00000451828,0,0.108471,0,True,correct,0.10156872868537903
9606.ENSP00000280871,9606.ENSP00000333401,0,0.2572431,0,True,correct,0.38522496819496155
9606.ENSP00000221265,9606.ENSP00000364589,1,0.8486426,1,True,correct,0.3362404406070709
9606.ENSP00000369424,9606.ENSP00000477870,1,0.9845346,1,True,correct,0.5510819554328918
9606.ENSP00000245479,9606.ENSP00000376658,0,0.034749534,0,True,correct,0.23600880801677704
9606.ENSP00000243457,9606.ENSP00000499406,0,0.49518347,0,True,correct,0.45433881878852844
9606.ENSP00000370950,9606.ENSP00000375730,1,0.99981266,1,True,correct,0.5933325290679932
9606.ENSP00000160373,9606.ENSP00000475615,1,0.34270582,0,False,false_negative,0.3342796266078949
9606.ENSP00000339795,9606.ENSP00000375730,1,1.0,1,True,correct,0.7664145231246948
9606.ENSP00000340271,9606.ENSP00000484638,0,0.98276156,1,False,false_positive,0.42929503321647644
9606.ENSP00000222968,9606.ENSP00000418529,0,0.034982804,0,True,correct,0.21420994400978088
9606.ENSP00000364320,9606.ENSP00000454786,0,0.9697365,1,False,false_positive,0.34596872329711914
9606.ENSP00000263334,9606.ENSP00000356587,0,0.4230449,0,True,correct,0.2768389880657196
9606.ENSP00000274031,9606.ENSP00000282412,0,0.0055554677,0,True,correct,0.11640807241201401
9606.ENSP00000262238,9606.ENSP00000356919,1,0.63740987,1,True,correct,0.25606200098991394
9606.ENSP00000240079,9606.ENSP00000357448,0,0.0016612492,0,True,correct,0.12973082065582275
9606.ENSP00000265162,9606.ENSP00000397157,0,0.027177647,0,True,correct,-0.031007176265120506
9606.ENSP00000221566,9606.ENSP00000223641,1,0.17452906,0,False,false_negative,0.21129414439201355
9606.ENSP00000356331,9606.ENSP00000360157,0,0.10044277,0,True,correct,0.45770561695098877
9606.ENSP00000306772,9606.ENSP00000326630,1,0.36786318,0,False,false_negative,0.44785234332084656
9606.ENSP00000377958,9606.ENSP00000446215,1,0.29629827,0,False,false_negative,0.36099711060523987
9606.ENSP00000262584,9606.ENSP00000329715,1,0.91950566,1,True,correct,0.3856314718723297
9606.ENSP00000216181,9606.ENSP00000446955,1,0.78191,1,True,correct,0.5677523612976074
9606.ENSP00000053468,9606.ENSP00000359571,1,0.99999344,1,True,correct,0.7652729749679565
9606.ENSP00000259335,9606.ENSP00000360609,0,0.59016085,1,False,false_positive,0.19610002636909485
9606.ENSP00000384675,9606.ENSP00000419060,1,0.99533445,1,True,correct,0.5435616970062256
9606.ENSP00000274606,9606.ENSP00000346050,1,0.9999609,1,True,correct,0.658547580242157
9606.ENSP00000292476,9606.ENSP00000359364,0,0.07235713,0,True,correct,0.2545386254787445
9606.ENSP00000215570,9606.ENSP00000257245,1,0.99950826,1,True,correct,0.7537067532539368
9606.ENSP00000261205,9606.ENSP00000334382,0,0.76460505,1,False,false_positive,0.46911078691482544
9606.ENSP00000327290,9606.ENSP00000355751,1,0.8487381,1,True,correct,0.6118358373641968
9606.ENSP00000375730,9606.ENSP00000414321,1,0.9999995,1,True,correct,0.6818910837173462
9606.ENSP00000231449,9606.ENSP00000501245,1,0.13943805,0,False,false_negative,0.5164270401000977
9606.ENSP00000216336,9606.ENSP00000337816,0,0.41044515,0,True,correct,0.5165404677391052
9606.ENSP00000392709,9606.ENSP00000438689,0,0.559662,1,False,false_positive,0.46954452991485596
9606.ENSP00000355559,9606.ENSP00000361060,1,0.9937914,1,True,correct,0.7309317588806152
9606.ENSP00000157812,9606.ENSP00000355325,1,0.9998988,1,True,correct,0.8035145401954651
9606.ENSP00000308275,9606.ENSP00000419740,1,0.9122435,1,True,correct,0.4113689661026001
9606.ENSP00000325120,9606.ENSP00000430690,0,0.084704526,0,True,correct,0.30623334646224976
9606.ENSP00000265709,9606.ENSP00000295025,1,0.14187475,0,False,false_negative,0.22348326444625854
9606.ENSP00000362649,9606.ENSP00000452871,1,0.87694246,1,True,correct,0.41984477639198303
9606.ENSP00000335038,9606.ENSP00000376097,0,0.051040296,0,True,correct,0.02385222725570202
9606.ENSP00000295822,9606.ENSP00000360609,0,0.012117647,0,True,correct,0.03422759100794792
9606.ENSP00000308717,9606.ENSP00000322439,1,0.93382585,1,True,correct,0.4480655789375305
9606.ENSP00000261584,9606.ENSP00000346196,1,0.87956375,1,True,correct,0.3655746877193451
9606.ENSP00000356436,9606.ENSP00000363512,1,0.9926819,1,True,correct,0.5790089964866638
9606.ENSP00000449396,9606.ENSP00000489282,1,0.95400023,1,True,correct,0.5299403071403503
9606.ENSP00000222390,9606.ENSP00000295927,0,0.42713445,0,True,correct,0.5606122612953186
9606.ENSP00000376177,9606.ENSP00000378736,1,0.11470284,0,False,false_negative,0.18562334775924683
9606.ENSP00000379873,9606.ENSP00000393566,1,0.9913536,1,True,correct,0.6083648204803467
9606.ENSP00000339063,9606.ENSP00000348645,0,0.80640817,1,False,false_positive,0.17235860228538513
9606.ENSP00000293879,9606.ENSP00000460971,0,0.043267727,0,True,correct,0.09996813535690308
9606.ENSP00000278572,9606.ENSP00000322439,1,0.9952911,1,True,correct,0.4626694321632385
9606.ENSP00000261584,9606.ENSP00000265081,1,0.96727586,1,True,correct,0.47796761989593506
9606.ENSP00000055077,9606.ENSP00000363017,1,0.46184605,0,False,false_negative,0.5002007484436035
9606.ENSP00000318821,9606.ENSP00000349305,1,0.74583834,1,True,correct,0.3668561279773712
9606.ENSP00000207870,9606.ENSP00000476672,1,0.48412958,0,False,false_negative,0.6485102772712708
9606.ENSP00000270625,9606.ENSP00000423399,1,0.9997743,1,True,correct,0.5710976123809814
9606.ENSP00000494689,9606.ENSP00000494788,1,0.74868304,1,True,correct,0.38756588101387024
9606.ENSP00000186436,9606.ENSP00000478754,0,0.014528306,0,True,correct,0.16166256368160248
9606.ENSP00000272233,9606.ENSP00000500409,1,0.7586312,1,True,correct,0.48133933544158936
9606.ENSP00000296452,9606.ENSP00000335614,0,0.28245294,0,True,correct,0.5316480398178101
9606.ENSP00000379464,9606.ENSP00000392094,0,0.013369513,0,True,correct,-0.06331111490726471
9606.ENSP00000325120,9606.ENSP00000347942,0,0.884185,1,False,false_positive,0.4170714020729065
9606.ENSP00000423399,9606.ENSP00000463379,1,0.9997224,1,True,correct,0.6485540270805359
9606.ENSP00000302961,9606.ENSP00000475615,0,0.08043765,0,True,correct,0.10374816507101059
9606.ENSP00000309463,9606.ENSP00000498864,0,0.046879068,0,True,correct,0.36625319719314575
9606.ENSP00000347672,9606.ENSP00000365569,0,0.066225275,0,True,correct,0.3449772000312805
9606.ENSP00000313199,9606.ENSP00000386023,0,0.34405932,0,True,correct,0.3828035891056061
9606.ENSP00000228945,9606.ENSP00000378786,0,0.06299889,0,True,correct,0.22618858516216278
9606.ENSP00000245414,9606.ENSP00000360215,0,0.13906118,0,True,correct,0.4745907187461853
9606.ENSP00000378414,9606.ENSP00000433760,1,0.990677,1,True,correct,0.5228554606437683
9606.ENSP00000349168,9606.ENSP00000359216,1,0.7657898,1,True,correct,0.5057954788208008
9606.ENSP00000269216,9606.ENSP00000384434,1,0.5767052,1,True,correct,0.5745936036109924
9606.ENSP00000294309,9606.ENSP00000431840,1,0.31657466,0,False,false_negative,0.36131879687309265
9606.ENSP00000275493,9606.ENSP00000462468,1,0.8225944,1,True,correct,0.37074002623558044
9606.ENSP00000354451,9606.ENSP00000393963,0,0.6269608,1,False,false_positive,0.5405896902084351
9606.ENSP00000216225,9606.ENSP00000301788,1,0.83447105,1,True,correct,0.26172858476638794
9606.ENSP00000230354,9606.ENSP00000484803,0,0.063801296,0,True,correct,0.2020167112350464
9606.ENSP00000354665,9606.ENSP00000417142,1,0.9987947,1,True,correct,0.5975356101989746
9606.ENSP00000326531,9606.ENSP00000337632,1,0.9574373,1,True,correct,0.5599196553230286
9606.ENSP00000470560,9606.ENSP00000478982,1,0.99906117,1,True,correct,0.6256380677223206
9606.ENSP00000445306,9606.ENSP00000494067,0,0.009045112,0,True,correct,-0.025959506630897522
9606.ENSP00000308610,9606.ENSP00000355964,0,0.64450216,1,False,false_positive,0.39394551515579224
9606.ENSP00000341292,9606.ENSP00000495332,1,0.20643657,0,False,false_negative,0.38051268458366394
9606.ENSP00000316924,9606.ENSP00000436585,1,0.009142231,0,False,false_negative,0.5556760430335999
9606.ENSP00000299563,9606.ENSP00000354361,0,0.16201127,0,True,correct,0.4642910957336426
9606.ENSP00000336868,9606.ENSP00000462355,1,0.99996793,1,True,correct,0.6764557957649231
9606.ENSP00000342374,9606.ENSP00000478070,1,0.973111,1,True,correct,0.6570845246315002
9606.ENSP00000263370,9606.ENSP00000355260,0,0.5330274,1,False,false_positive,0.26456525921821594
9606.ENSP00000248975,9606.ENSP00000478927,1,0.48519263,0,False,false_negative,0.30655941367149353
9606.ENSP00000216225,9606.ENSP00000221265,1,0.26381484,0,False,false_negative,0.25079625844955444
9606.ENSP00000225831,9606.ENSP00000275525,0,0.0503597,0,True,correct,0.41197776794433594
9606.ENSP00000217169,9606.ENSP00000499058,1,0.96589434,1,True,correct,0.5597071051597595
9606.ENSP00000251566,9606.ENSP00000360317,1,0.9890667,1,True,correct,0.6420053243637085
9606.ENSP00000229922,9606.ENSP00000316674,0,0.8196602,1,False,false_positive,0.5290990471839905
9606.ENSP00000264938,9606.ENSP00000367064,1,0.101623304,0,False,false_negative,0.3398815393447876
9606.ENSP00000323424,9606.ENSP00000403172,0,0.19946553,0,True,correct,0.30390092730522156
9606.ENSP00000230340,9606.ENSP00000321449,1,0.999938,1,True,correct,0.7944176197052002
9606.ENSP00000418008,9606.ENSP00000461930,1,0.9990688,1,True,correct,0.5621827244758606
9606.ENSP00000245787,9606.ENSP00000364235,0,0.2060359,0,True,correct,0.21078599989414215
9606.ENSP00000216225,9606.ENSP00000354340,1,0.99975187,1,True,correct,0.6854004859924316
9606.ENSP00000243457,9606.ENSP00000262916,1,0.44502023,0,False,false_negative,0.42296910285949707
9606.ENSP00000429367,9606.ENSP00000448012,0,0.7863407,1,False,false_positive,0.3889690339565277
9606.ENSP00000349168,9606.ENSP00000478754,0,0.0375236,0,True,correct,0.2991541922092438
9606.ENSP00000230053,9606.ENSP00000343838,1,0.93837345,1,True,correct,0.6653099656105042
9606.ENSP00000229758,9606.ENSP00000244426,0,0.027697872,0,True,correct,0.24381305277347565
9606.ENSP00000309572,9606.ENSP00000437621,0,0.33796442,0,True,correct,0.37674498558044434
9606.ENSP00000327675,9606.ENSP00000482119,0,0.48086885,0,True,correct,0.3145681619644165
9606.ENSP00000333401,9606.ENSP00000375730,1,0.90082395,1,True,correct,0.45758649706840515
9606.ENSP00000287598,9606.ENSP00000405726,1,0.84132034,1,True,correct,0.6445903778076172
9606.ENSP00000333019,9606.ENSP00000485525,1,0.9503189,1,True,correct,0.7157250642776489
9606.ENSP00000395983,9606.ENSP00000477848,0,0.053240906,0,True,correct,-0.05619000643491745
9606.ENSP00000229795,9606.ENSP00000291295,0,0.17286927,0,True,correct,0.4042258560657501
9606.ENSP00000282561,9606.ENSP00000339001,1,0.2024294,0,False,false_negative,0.15820670127868652
9606.ENSP00000263663,9606.ENSP00000438689,0,0.001291064,0,True,correct,-0.13518863916397095
9606.ENSP00000273450,9606.ENSP00000412130,0,0.24375522,0,True,correct,0.16024748980998993
9606.ENSP00000336702,9606.ENSP00000404375,1,0.9985775,1,True,correct,0.5684599280357361
9606.ENSP00000275603,9606.ENSP00000340019,1,0.9861525,1,True,correct,0.5583475232124329
9606.ENSP00000258400,9606.ENSP00000399229,0,0.25973535,0,True,correct,0.3468799889087677
9606.ENSP00000370460,9606.ENSP00000416269,1,0.9325807,1,True,correct,0.5423915982246399
9606.ENSP00000290573,9606.ENSP00000305692,1,0.55058306,1,True,correct,0.32395145297050476
9606.ENSP00000225792,9606.ENSP00000336741,1,0.9502435,1,True,correct,0.6868287920951843
9606.ENSP00000241052,9606.ENSP00000489733,1,0.096179456,0,False,false_negative,0.4264073371887207
9606.ENSP00000252250,9606.ENSP00000449404,0,0.1272532,0,True,correct,0.3992326855659485
9606.ENSP00000253778,9606.ENSP00000264029,0,0.20613448,0,True,correct,0.3787382245063782
9606.ENSP00000243903,9606.ENSP00000262238,1,0.43979374,0,False,false_negative,0.32033780217170715
9606.ENSP00000221996,9606.ENSP00000428331,0,0.6601511,1,False,false_positive,0.3989696800708771
9606.ENSP00000351937,9606.ENSP00000401770,1,0.9797141,1,True,correct,0.6054075360298157
9606.ENSP00000311430,9606.ENSP00000349142,1,0.8901775,1,True,correct,0.324329137802124
9606.ENSP00000403459,9606.ENSP00000406970,1,0.15587537,0,False,false_negative,0.1428804248571396
9606.ENSP00000263780,9606.ENSP00000354772,1,0.32801265,0,False,false_negative,0.5134385228157043
9606.ENSP00000323424,9606.ENSP00000411010,0,0.8388857,1,False,false_positive,0.5350862741470337
9606.ENSP00000324804,9606.ENSP00000343497,0,0.6158455,1,False,false_positive,0.24345985054969788
9606.ENSP00000268711,9606.ENSP00000326767,1,0.9999211,1,True,correct,0.6639801859855652
9606.ENSP00000364403,9606.ENSP00000386738,1,0.53195196,1,True,correct,0.45935067534446716
9606.ENSP00000221561,9606.ENSP00000262320,0,0.5321744,1,False,false_positive,0.38973626494407654
9606.ENSP00000296102,9606.ENSP00000423399,1,0.99999857,1,True,correct,0.7596898078918457
